Rank,+/-,Song,Artist,Points,Points%,Peak,WoC,Sales,Sales%,Streams,Streams%,Airplay,Airplay%,Units
73,-25,Sucka Free,"Tyler, The Creator",46,-39%,48,2,0.1k,0%,6.2m,100%,0.0m,0%,46.1k
74,+18,Strategy,Twice,45,3%,74,2,0.1k,0%,6.3m,99%,0.1m,0%,45.2k
75,+16,No Broke Boys,Disco Lines & Tinashe,45,3%,75,3,0.9k,2%,5.8m,96%,0.8m,2%,43.6k
76,-9,Bloodline,Alex Warren & Jelly Roll,44,-21%,32,10,0.4k,1%,6.2m,99%,0.1m,0%,43.2k
77,+8,TN,Morgan Wallen,44,-4%,31,11,0.1k,0%,5.9m,99%,0.1m,0%,43.5k
78,=,Hard Fought Hallelujah,Brandon Lake,44,-8%,40,24,1.5k,3%,5.3m,82%,5.2m,15%,36.2k
79,+1,Sparks,Coldplay,43,-5%,79,3,0.2k,1%,6.2m,99%,0.0m,0%,43.7k
80,+15,Bar None,Jordan Davis,43,3%,80,4,0.5k,1%,3.9m,55%,15.0m,43%,22.9k
81,+8,Went Legit,G Herbo,43,-2%,81,4,0.1k,0%,6.2m,88%,4.2m,12%,37.3k
82,-23,Don't You Worry Baby,"Tyler, The Creator feat. Madison McFerrin",42,-32%,59,2,0.1k,0%,5.7m,100%,0.0m,0%,42.2k
83,NEW,Park,Tyler Hubbard,42,--,83,1,0.2k,0%,0.4m,7%,31.2m,93%,2.9k
84,+14,I AM MEE,Playboi Carti & The Weeknd,42,0%,4,20,0.1k,0%,2.9m,48%,17.4m,52%,19.6k
85,+14,Somewhere Over Laredo,Lainey Wilson,41,-1%,85,4,0.9k,2%,4.1m,65%,10.9m,33%,26.1k
86,+7,EOO,Bad Bunny,41,-5%,24,28,0.1k,0%,4.3m,71%,9.3m,28%,28.8k
87,+7,Frecuencia,Los Dareyes De La Sierra,41,-3%,87,2,0.1k,0%,6.7m,99%,0.1m,0%,40.4k
88,-22,Go Baby,Justin Bieber,41,-29%,18,3,0.2k,1%,5.3m,99%,0.0m,0%,40.6k
89,+8,Nuevayol,Bad Bunny,40,-5%,82,8,0.3k,1%,4.7m,80%,6.1m,19%,31.9k
90,+10,Typa,Glorilla,40,-3%,42,7,0.3k,1%,4.1m,60%,12.6m,40%,22.4k
91,+5,Nice To Meet You,Myles Smith,40,-5%,82,2,0.6k,2%,3.3m,47%,16.4m,51%,17.2k
92,RE,Revolving Door,Tate McRae,40,--,22,16,0.2k,0%,3.7m,64%,11.3m,36%,24.6k
93,-42,Stop Playing With Me,"Tyler, The Creator",39,-43%,51,2,0.2k,1%,5.5m,99%,0.0m,0%,39.2k
94,-32,Madeline,Zach Bryan feat. Gabriella Rose,39,-34%,62,2,0.3k,1%,5.4m,99%,0.0m,0%,37.9k
95,-41,Mommaenn,"Tyler, The Creator",38,-41%,54,2,0.1k,0%,5.1m,100%,0.0m,0%,37.8k
96,=,River Washed Hair,Zach Bryan,38,-15%,53,4,0.2k,1%,5.1m,99%,0.0m,0%,36.7k
97,-41,Don't Tap The Glass / Tweakin',"Tyler, The Creator",37,-41%,56,2,0.3k,1%,5.0m,99%,0.0m,0%,37.3k
98,RE,Tu Sancho,Fuerza Regida,37,--,65,7,0.1k,0%,5.8m,100%,0.0m,0%,36.6k
99,NEW,Don't Mind If I Do,Riley Green & Ella Langley,35,--,99,1,0.7k,2%,4.2m,82%,4.7m,16%,28.8k
100,-36,Kick Out,Travis Scott,35,-39%,50,3,0.1k,0%,4.8m,99%,0.2m,1%,35.1k
